iter	RMSE
0	1.175557972
1	1.174066692
2	1.172619597
3	1.171104881
4	1.169582827
5	1.168356619
6	1.166899658
7	1.165394341
8	1.163851632
9	1.162589082
10	1.161170418
11	1.159734074
12	1.15837169
13	1.157583171
14	1.156296276
15	1.155052445
16	1.153829257
17	1.152480293
18	1.151193958
19	1.150024668
20	1.148699558
21	1.147456948
22	1.14620578
23	1.144939499
24	1.143884669
25	1.14272142
26	1.141653547
27	1.140589907
28	1.139577496
29	1.138364421
30	1.13724617
31	1.136054201
32	1.134851493
33	1.133887855
34	1.132698642
35	1.131669754
36	1.13065347
37	1.129586371
38	1.128615405
39	1.127625094
40	1.126656523
41	1.125590131
42	1.124687687
43	1.123670834
44	1.122693423
45	1.121763642
46	1.120805323
47	1.119865484
48	1.118950203
49	1.118067743
50	1.117170916
51	1.116285961
52	1.115340876
53	1.114439402
54	1.113499196
55	1.112727853
56	1.111788182
57	1.111036731
58	1.110187783
59	1.109206858
60	1.108370901
61	1.107471535
62	1.106666289
63	1.105792231
64	1.105070963
65	1.10437371
66	1.103794853
67	1.103086017
68	1.102277612
69	1.101556989
70	1.100764338
71	1.100095384
72	1.099372851
73	1.098680711
74	1.097965651
75	1.097275626
76	1.096618756
77	1.095911337
78	1.09519511
79	1.094475191
80	1.09376431
81	1.093054151
82	1.092356326
83	1.091711078
84	1.090953771
85	1.090236507
86	1.08947475
87	1.088819855
88	1.088217258
89	1.087570157
90	1.086922869
91	1.086255187
92	1.08551816
93	1.084949872
94	1.084383292
95	1.083828052
96	1.083245499
97	1.082666174
98	1.082121423
99	1.081562498
100	1.080937394
101	1.080415705
102	1.079966184
103	1.079215793
104	1.07856527
105	1.078014487
106	1.077302601
107	1.07675009
108	1.076151097
109	1.075589191
110	1.075071947
111	1.074538047
112	1.073929538
113	1.073344343
114	1.072827125
115	1.072246891
116	1.071670064
117	1.071080771
118	1.07064321
119	1.070222221
120	1.069769375
121	1.069195197
122	1.068639547
123	1.068037805
124	1.067556115
125	1.06695354
126	1.066399537
127	1.066088665
128	1.065561751
129	1.065002391
130	1.064523992
131	1.063966299
132	1.063459917
133	1.063058431
134	1.062608719
