iter	Passed	Remaining
0	129	1295277
1	231	1157052
2	328	1095410
3	427	1068890
4	526	1052819
5	620	1032984
6	717	1024438
7	815	1018530
8	913	1013988
9	1010	1009925
10	1110	1008669
11	1208	1005855
12	1306	1003451
13	1316	939035
14	1412	940087
15	1508	941135
16	1625	954357
17	1721	954720
18	1818	955298
19	1911	953916
20	2010	955441
21	2108	956112
22	2204	956098
23	2303	957436
24	2395	955737
25	2493	956514
26	2590	956783
27	2684	955999
28	2783	957075
29	2882	958000
30	2982	959135
31	3080	959431
32	3178	960127
33	3277	960807
34	3376	961443
35	3471	960812
36	3569	961099
37	3666	961177
38	3762	960934
39	3863	961959
40	3960	961946
41	4056	961781
42	4155	962269
43	4253	962396
44	4351	962642
45	4445	962044
46	4543	962225
47	4642	962495
48	4743	963343
49	4841	963557
50	4940	963750
51	5036	963614
52	5133	963480
53	5234	964058
54	5334	964488
55	5435	965160
56	5535	965671
57	5635	965943
58	5733	966115
59	5837	967088
60	5934	966944
61	6031	966801
62	6133	967406
63	6235	968027
64	6332	967920
65	6428	967582
66	6525	967494
67	6623	967423
68	6724	967852
69	6823	968017
70	6924	968375
71	7026	968891
72	7128	969348
73	7233	970217
74	7332	970359
75	7430	970278
76	7529	970345
77	7634	971108
78	7734	971317
79	7838	971924
80	7934	971672
81	8033	971680
82	8132	971652
83	8239	972624
84	8338	972652
85	8436	972600
86	8539	973011
87	8639	973146
88	8740	973314
89	8840	973415
90	8939	973390
91	9039	973544
92	9141	973806
93	9245	974305
94	9344	974336
95	9441	974079
96	9543	974353
97	9642	974323
98	9737	973867
99	9841	974298
100	9946	974837
101	10052	975462
102	10153	975632
103	10258	976090
104	10355	975849
105	10453	975681
106	10551	975575
107	10648	975347
108	10750	975546
109	10849	975509
110	10949	975454
111	11045	975121
112	11142	974952
113	11244	975079
114	11340	974785
115	11444	975116
116	11544	975126
117	11644	975141
118	11736	974494
119	11831	974101
120	11930	974041
121	12028	973905
122	12124	973597
123	12225	973665
124	12321	973373
125	12419	973253
126	12518	973214
127	12616	973023
128	12713	972854
129	12809	972526
130	12911	972669
131	13015	972995
132	13112	972784
133	13215	972984
134	13314	972943
135	13412	972802
136	13505	972323
137	13609	972619
138	13714	972926
139	13813	972869
140	13909	972545
141	14003	972192
142	14103	972145
143	14208	972460
144	14305	972308
145	14404	972229
146	14505	972251
147	14605	972247
148	14700	971931
149	14796	971657
150	14896	971648
151	14994	971504
152	15094	971473
153	15197	971628
154	15293	971409
155	15394	971435
156	15496	971564
157	15599	971704
158	15696	971476
159	15793	971330
160	15898	971558
161	15997	971506
162	16095	971335
163	16194	971247
164	16294	971231
165	16394	971238
166	16492	971099
167	16591	970991
168	16690	970888
169	16790	970865
170	16890	970859
171	16994	971053
172	17095	971104
173	17197	971156
174	17294	970989
175	17391	970760
176	17489	970635
177	17588	970556
178	17688	970516
179	17789	970492
180	17890	970543
181	17987	970345
182	18085	970193
183	18187	970253
184	18289	970308
185	18386	970125
186	18484	969994
187	18581	969800
188	18684	969907
189	18785	969930
190	18880	969619
191	18980	969572
192	19080	969527
193	19178	969420
194	19278	969347
195	19373	969082
196	19471	968949
197	19569	968770
198	19666	968616
199	19765	968507
200	19864	968396
201	19973	968821
202	20081	969156
203	20187	969419
204	20289	969444
205	20394	969632
206	20495	969634
207	20600	969806
208	20706	970017
209	20811	970222
210	20916	970398
211	21025	970755
212	21135	971141
213	21236	971133
214	21336	971039
215	21438	971101
216	21547	971410
217	21652	971595
218	21758	971793
219	21860	971780
220	21963	971858
221	22066	971927
222	22174	972215
223	22279	972330
224	22380	972321
225	22485	972446
226	22590	972590
227	22696	972784
228	22803	972998
229	22909	973168
230	23015	973314
231	23122	973555
232	23224	973522
233	23332	973766
234	23444	974193
235	23552	974438
236	23656	974526
237	23762	974668
238	23866	974733
239	23974	974962
240	24077	974970
241	24184	975184
242	24285	975104
243	24391	975260
244	24493	975249
245	24596	975264
246	24705	975515
247	24811	975651
248	24913	975626
249	25019	975750
250	25121	975718
